Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Colton Solomon,pfisher@example.net,313,141,8,2,0,3,2,11,268,8,1.906145078132256,1.769334521635497,4,288,162,5,0,2,2,1,20,322,6,0.9845982969055964,1.9557608735763397,3,0
Carmen Martin,thompsonshannon@example.net,338,216,13,3,0,2,3,23,321,2,0.9066920010759509,1.7354659202886626,0,341,239,9,2,3,2,3,4,275,1,1.7290540404403676,0.7916731312388723,2,0
Kevin Rhodes,zstevens@example.net,291,196,6,1,1,5,5,18,274,0,1.5310147001236323,0.8500069407172394,3,301,228,2,3,2,7,2,11,273,2,0.9668896030542704,1.4845445182357961,2,1
Audrey Pearson,uthomas@example.org,318,196,1,1,1,8,2,12,293,9,0.5763978784903092,1.7385517063554263,1,340,156,8,3,3,7,3,9,229,1,1.1989280821329795,1.134650131505147,1,0
Anthony Smith,johnny48@example.com,262,227,14,1,4,7,6,27,286,2,0.976948717916096,0.7395683262670035,4,397,172,13,4,0,8,6,21,358,5,1.6767349326204501,1.6695049207490704,2,1
Catherine Hernandez,stevensmichael@example.com,289,247,9,3,2,9,4,24,278,6,1.4196919253821811,1.7920741564228648,4,196,173,7,3,2,1,1,5,320,8,0.9281988982805944,1.394234007637115,0,0
Maria Carlson,dianemata@example.com,301,158,12,0,3,1,4,22,371,3,1.4104969673789138,1.4410952146521812,4,316,219,11,2,2,0,6,13,447,1,0.9211831441784534,1.7053833463636816,4,0
Angela Phillips,christinaskinner@example.net,322,166,6,3,4,7,5,21,373,3,1.022075888220059,1.2320167907016006,2,343,207,14,0,2,6,4,15,277,1,1.3760546521817494,1.8682646941771757,0,0
Alexis Lewis,kylerodriguez@example.org,292,185,10,1,0,6,4,17,324,7,1.8291383743141598,0.5588692145612942,2,282,153,5,4,1,9,4,18,301,7,0.52052142886995,0.6102472782922079,4,0
Robin Pennington,freyes@example.net,391,160,13,0,3,1,3,6,334,7,1.6601400803768573,1.76321187286069,1,310,234,9,2,2,6,5,14,372,4,1.6692228309252142,1.0165627624759797,1,0
Jay Lawson,hollycooley@example.org,379,227,1,0,0,6,3,21,316,3,0.5187834829628616,1.5335253483185807,2,279,158,4,2,0,9,4,17,271,1,0.7852694512498567,1.3684217265429475,3,0
Kathryn Galloway,shawnmurray@example.net,287,213,14,0,1,1,4,11,261,3,0.9148340915368423,1.0278177152076775,0,373,215,6,4,0,8,1,14,335,9,1.1589850104100197,1.904596370975201,4,0
Lauren Lopez,timothygreen@example.org,324,209,5,1,2,5,4,19,320,4,1.4003777586290556,0.6177763934887013,0,327,233,9,0,4,0,2,2,152,8,1.1360442833079785,0.7567453355536256,3,0
Elizabeth Miller,castillodavid@example.net,326,188,14,2,2,9,6,11,241,0,1.0523678882688439,1.9391705575463196,3,249,165,11,4,1,4,1,22,177,0,1.7841348412695612,1.4411724027514394,4,0
Justin Bishop,charles16@example.net,323,157,10,3,1,5,3,18,277,0,1.8914004659374768,1.7714747932338644,2,358,235,14,4,2,2,2,21,244,1,1.3820211904238686,1.9902874057790227,3,0
Margaret Leonard,walshnicole@example.com,323,229,11,1,1,9,3,6,276,4,0.7799351198656077,1.5479276123328378,1,194,188,14,4,4,5,2,16,279,4,0.8579558525873485,1.2493644167125706,2,1
Darrell Schroeder,mlong@example.org,321,228,6,3,3,5,2,23,303,2,1.4790735338899295,0.7553443862865791,4,216,158,2,4,1,1,3,27,347,8,1.9516119116950421,1.0940316829082566,3,1
Heather Mcclure,qkemp@example.org,310,207,3,4,2,0,4,9,316,6,0.8820601474868139,1.2258234418787346,2,390,198,14,0,0,9,4,0,308,6,0.7359637866360588,0.6314606690360776,3,0
Kevin Freeman,martingina@example.net,236,226,14,0,0,0,4,8,337,0,0.6831793079362756,1.0960066540074216,4,296,247,8,1,0,5,3,12,346,2,1.6631676763007206,0.9835438189542056,3,1
Melissa Hill,eramos@example.org,318,238,7,3,1,2,4,5,297,5,1.3820236261932115,0.6613918236490309,4,254,213,12,3,0,7,5,5,218,3,1.6563279360062286,1.9228553003738496,4,1
Noah Mooney,cindypittman@example.net,197,188,10,0,4,0,6,29,290,4,0.6758468049834758,0.7696661166700411,0,282,221,11,4,2,7,6,12,290,6,1.8544152915959875,0.7200822353643228,0,1
Mallory Thompson,aaron30@example.net,303,199,9,2,2,1,1,24,273,4,0.603204424614137,1.8619292820134519,2,356,142,11,0,3,4,5,11,243,5,1.7448943172609745,1.0157996514294505,1,0
Corey Moore,hmendoza@example.org,225,131,3,2,3,7,5,26,238,2,1.5895261401865282,1.721703565737751,4,338,160,1,4,4,1,2,14,228,5,1.5907369414620174,0.582041449814874,0,1
Mark Mccarthy,matthewsmichelle@example.com,376,132,3,2,4,4,3,15,366,3,1.7353471497418862,1.4995739532359693,0,315,210,7,3,0,6,1,24,326,4,1.6295452497818743,1.2761057401840534,4,1
Heather Pugh,dmiller@example.net,299,187,2,1,1,3,4,25,264,7,1.546101860339412,1.6151159216399253,2,296,231,8,0,0,1,5,14,327,3,0.7761574930226955,1.829338244288168,0,0
Rebecca Jordan,andrew74@example.net,280,172,14,2,2,8,5,3,279,8,1.8511030556312242,0.9552308846795072,0,291,233,7,3,2,4,3,0,291,8,0.6766449793648166,1.0858082425295736,4,0
Scott Murray,mooreanthony@example.net,310,192,9,0,1,2,5,29,338,5,0.5425377174052728,1.7947598766961357,0,354,245,3,3,3,4,4,0,279,2,1.5175039597940134,0.8057369685982063,2,0
Mark Allen,megannolan@example.com,284,162,5,0,1,1,2,27,210,2,1.4035708189701157,1.7876998915775573,2,258,204,1,0,4,2,1,24,255,5,0.6725917514407677,1.5925351043378617,0,0
Julie Owens,reyesvirginia@example.net,286,244,7,2,3,3,1,0,311,3,1.942165372369396,1.1816263275799033,4,363,226,13,1,3,4,6,1,229,5,1.9378304020948147,1.0514509373605865,1,0
Miguel Lynch,mariamiller@example.net,294,189,9,1,4,0,3,16,257,4,1.2258232181052233,1.1281985850835436,1,353,195,13,2,3,4,5,22,270,2,0.584647666814903,1.0081076464111836,1,0
David Yates,jon82@example.org,292,222,3,0,0,8,1,23,291,5,1.8847990641367682,1.0319632776049663,4,319,170,8,3,3,8,5,8,251,7,1.4380549441474817,0.8155634641413478,2,0
William Gallagher,robertevans@example.org,298,193,1,3,4,5,6,0,234,7,1.607734863637353,1.9370076815382573,1,248,236,13,1,0,3,5,18,290,4,1.840389075419667,0.5071413932563748,2,0
Mary Medina,michaelmoore@example.org,322,176,3,0,2,0,6,14,289,8,0.6918733509085431,0.5337355965659316,3,327,197,10,3,0,8,6,29,363,2,1.1139795692772798,1.8253506230115875,4,0
Jonathan Campos,ashleyjones@example.com,282,219,3,3,4,2,2,8,220,7,1.4202516656062034,1.604689009031658,4,255,215,12,4,3,3,6,25,243,9,0.7776964130438009,1.321001614526219,0,1
Christina Allen,melissayoder@example.com,339,135,13,4,0,0,1,28,392,7,0.8126575634854432,1.7130815161949169,4,316,205,10,0,4,5,2,20,277,0,1.4420336893382582,1.0564343999961745,2,0
David Trujillo,melvinhall@example.net,400,201,8,4,4,6,5,25,361,1,1.6357424578838398,1.0750508684955515,0,366,205,9,2,3,9,2,8,342,2,1.5979744308888417,1.2540934648906412,0,1
Jackson Armstrong,lindacosta@example.com,337,198,11,2,4,8,4,23,273,2,1.9823052735770594,0.7644819110860505,2,284,237,14,4,0,5,2,28,317,4,1.453060689266799,1.7378836487846059,4,0
Colleen Harrington,shawjonathon@example.org,291,250,1,3,4,3,6,9,288,4,1.9758055207755314,0.5579962633617911,3,302,218,8,4,2,2,2,11,268,3,1.95668917423131,1.613935519376796,3,0
Tony Mathews,susanmontgomery@example.net,361,142,4,1,3,1,3,21,304,9,1.6419537416987842,1.3880764603181452,4,303,230,13,1,0,0,6,29,286,9,1.1706487116695796,1.1302807837064528,2,0
Lindsay Johns,jimmy94@example.org,273,218,6,2,0,2,2,13,284,8,1.803983554793408,0.8152047996212554,4,351,197,1,1,0,5,3,4,413,8,1.84187717756349,1.896986183332567,4,0
Sylvia Cordova,joshua81@example.com,339,182,13,1,0,5,3,23,346,3,0.7242374203760573,1.16969365402461,4,278,264,9,4,3,8,2,3,278,2,0.7326738957434373,1.9906637227323967,2,0
Pamela Gray,inguyen@example.org,184,227,9,2,2,0,5,1,228,4,0.852339450865338,1.4360543031288522,3,310,154,4,1,4,3,5,26,274,6,1.6665507712688574,1.2376074904066694,0,1
Julia Johnson,dicksonmichael@example.net,347,212,14,0,1,2,5,3,349,7,1.5033172500507368,1.528353247061399,3,256,191,6,3,2,7,5,20,322,3,0.9611718888202548,1.8589513608584554,4,1
Michael Davidson DDS,amanda95@example.org,326,258,13,2,2,0,3,16,259,2,1.2473727735440487,0.6953826976857701,1,356,243,10,2,3,6,4,6,356,3,0.7329885711236033,0.5380636197360866,2,1
Lisa Thomas,torresdavid@example.net,280,228,12,0,3,1,1,22,297,6,1.751445698718528,1.6471889276474958,3,363,209,12,3,2,6,6,29,291,8,0.6892770845144017,0.7519351249102784,3,0
Brianna Kennedy,kathleen07@example.org,318,177,2,1,1,7,2,21,253,6,1.1069125273588403,1.6535815536998864,1,285,187,8,3,1,7,1,25,291,9,1.694032941251126,1.0673222369939743,2,0
Christopher George,eraymond@example.com,302,211,14,0,2,2,1,25,339,5,1.478645360646505,0.8106970880663744,2,234,174,11,3,4,7,2,5,297,4,1.50991331422531,1.9053197127798027,2,0
Christopher Gilmore,neil70@example.net,282,249,9,1,2,6,3,17,342,5,1.193241295099329,0.6399134677855898,4,276,212,1,3,1,0,4,0,266,2,0.6942506578557684,1.997390084360694,3,1
Michael James,edwardadams@example.org,352,152,9,2,3,9,6,1,312,5,0.5517549217885578,1.9726126630642917,2,340,197,13,4,1,5,5,2,356,4,1.6830424225561111,1.496868963866176,2,1
Matthew Beck,michaeldavis@example.org,308,188,12,4,3,7,2,29,278,7,1.0171130144908231,1.7177866258968923,1,344,218,5,1,2,6,6,14,284,0,1.3747958867101548,1.3042252610625473,3,1
Lawrence Ferguson,pmoore@example.org,222,169,10,0,2,4,1,18,223,9,1.887121062798479,1.2099903087836998,4,212,219,11,1,0,8,5,22,354,0,0.9820777945444745,1.5927956935093837,0,0
John Mcbride,turnermargaret@example.net,336,193,6,2,2,3,6,10,272,3,0.5580083646435094,0.8207101197745896,1,321,198,14,1,0,1,6,18,314,9,1.737186610604349,0.6628587831031095,3,0
Rick Jones,curtismichael@example.org,333,237,13,3,3,1,3,8,361,5,0.8739190633520213,0.7317369983926971,3,277,231,8,1,0,2,3,20,360,7,1.6523519099929314,0.7906448464773235,0,0
Michelle Benitez,birdvictoria@example.com,346,167,14,4,1,3,6,24,257,3,1.14725484211226,1.9716862718447,1,239,216,10,4,0,2,2,20,251,9,1.7992839018221887,1.2982952311309686,3,0
Eric Jones,dfreeman@example.org,380,227,12,0,3,8,6,4,276,5,1.5132094405808454,1.5564449575542534,3,301,206,9,3,0,4,1,8,312,0,1.5027044590921985,0.8149825675117613,4,0
Glenn Banks,benjaminhart@example.net,274,221,1,0,1,9,1,19,210,6,1.3799213609122263,1.632778655016795,3,307,176,9,3,2,0,1,10,323,2,1.3974005497901216,0.7649562775106569,1,1
Pamela Young MD,sbishop@example.net,282,173,11,0,0,1,2,12,237,2,0.5290933794836044,1.3132505176520446,2,341,197,14,2,1,6,5,4,320,2,0.5972823677985504,0.5869433252665317,3,1
Janice Gomez,mmyers@example.net,316,256,7,1,0,4,6,21,346,5,0.9330139895655931,0.5943481731652769,4,271,169,1,1,0,9,6,2,336,3,1.6905667105679005,0.635815249572558,4,0
Christopher Manning,mmoon@example.com,396,250,6,2,2,9,4,18,242,0,1.49698904045716,1.3258608285736186,3,272,170,11,3,0,5,2,23,200,9,0.7095547817643291,1.4131497997101574,0,0
Nicole Christensen,andrewmoore@example.org,278,178,9,2,2,8,6,7,320,0,1.2380454512370132,1.4315737920992109,0,383,227,3,1,3,4,1,4,196,6,1.9443811447631492,0.6966214877615674,0,0
Jesse Foster,vmcguire@example.net,215,232,8,1,0,5,1,26,337,1,0.8336231647289059,1.3902433766563416,3,303,193,6,2,2,1,3,18,338,0,1.187830987571577,1.5191460353165454,0,1
Felicia Johnson,amybennett@example.org,295,157,4,3,0,7,4,5,364,6,1.851553348373525,1.770510171004048,3,277,183,2,3,1,7,2,24,276,0,1.4813827576860872,0.7804639533557007,0,1
Melissa Aguilar,sotowilliam@example.com,246,153,3,0,1,0,5,9,339,8,1.4768912169847868,1.7389607056038074,3,256,243,5,0,4,9,5,16,332,5,0.6897593511377489,1.3348053038111014,3,0
Susan Bennett,burnsanne@example.net,240,179,1,4,1,9,4,23,354,8,1.05601874586325,1.504918573239583,1,321,178,3,2,0,7,3,5,350,9,1.9184662323202328,1.4736320603288422,0,0
Michael Valencia,nealandrew@example.com,316,241,7,3,4,1,1,8,299,2,0.6741623051216352,0.629316142821086,0,298,128,7,4,2,3,4,12,318,9,0.548431491251656,1.5774039683726617,2,0
Andrew Larsen,mholmes@example.com,293,211,11,4,4,2,5,11,319,2,1.2000075906864227,0.850897900347549,4,235,193,11,3,2,5,5,6,389,3,1.670017647637959,1.9432895817184541,3,1
Crystal Smith,kristengoodman@example.net,326,172,9,4,1,6,5,16,264,4,0.9973375873412906,1.922997856338125,3,327,210,13,4,1,4,2,3,325,7,0.5039881332183376,1.966567315391254,1,0
Sarah Summers,umiller@example.org,287,163,5,1,1,3,3,20,335,6,1.548986659023833,1.4760152760268315,1,315,182,5,0,4,6,2,29,246,7,1.6595460054447042,1.9544985326451931,2,1
Laura Boyer,mortonandrea@example.org,291,166,2,3,4,6,5,25,289,1,1.6986241738847652,1.9538393727096806,4,293,203,5,4,0,6,6,23,322,1,0.6349724592175272,1.150345997090609,2,0
Garrett Newman,briggschristian@example.org,305,206,10,1,3,6,5,1,289,5,1.6495307654449305,1.4572986480292185,4,286,185,11,0,0,7,5,24,357,9,1.4506636607779118,1.5407963800715503,3,0
Sabrina Thompson,annette34@example.com,300,178,12,2,0,4,3,3,342,9,0.87456277936619,0.9114565144881226,3,304,187,7,4,1,0,2,9,236,2,1.2151910257824643,1.7444431757694332,4,0
Amanda Henry,lynnbarrett@example.org,266,224,3,2,4,6,4,1,364,3,1.5234109437077588,1.519027980489037,3,280,191,7,3,1,4,5,18,284,7,1.118451443240951,0.5009924978744527,2,0
Marc Booth,whitekevin@example.org,278,187,1,2,3,9,2,6,250,7,1.1469731389752855,1.5003827000268366,1,325,181,10,2,1,3,5,8,398,5,0.6861702629384453,1.176739478270045,4,0
Lindsey Villarreal,clarkjacob@example.org,260,209,11,2,3,9,1,18,241,8,0.5742970101153703,1.7538928643242637,4,289,214,7,1,2,3,4,2,241,9,0.5789668307497657,1.3642762407372078,0,1
Amber Herman,jennifercalhoun@example.net,305,207,3,0,2,0,2,8,353,0,0.6324581281384485,1.8266957735290072,1,287,197,12,2,0,5,5,11,217,9,1.2779298914934678,1.176426217363324,2,1
Charles Strong,ingramstephen@example.net,367,159,13,3,4,5,4,6,324,8,1.8965013042320749,1.0300608958057713,4,344,238,11,1,1,3,5,1,259,9,1.9244114820573754,0.938305070041924,2,1
Robert Cox,raymondmaldonado@example.net,343,219,5,2,1,9,2,1,316,1,1.564604148223421,1.4740733385859366,1,357,204,8,2,0,4,5,7,342,9,0.7305291916326384,1.3360717420794188,4,1
Todd Pitts,bobby55@example.net,329,224,14,2,4,6,4,9,348,9,1.723671530124403,1.318469603314468,0,255,218,5,3,1,9,2,14,276,7,1.6031327300184874,1.970498879602381,2,1
Matthew Trujillo,shanewilson@example.net,253,227,1,0,2,2,5,4,317,9,0.611257875567683,0.8587032648755064,2,245,213,3,4,4,4,4,11,312,6,1.9167032686846537,1.056610640513218,4,0
Jonathan Sanchez,ndavis@example.com,272,202,12,0,4,8,1,7,243,2,0.6756321306136727,1.3550803763141823,0,330,200,5,1,0,1,1,0,286,7,1.545140954049808,0.6813288003091107,4,1
Ashley Rogers,honeal@example.net,335,188,6,2,0,2,3,7,304,5,1.4524526942266216,0.9425644847356065,1,314,163,12,1,2,4,2,9,280,8,0.7100238358008557,1.7203385716175226,2,1
Roger Powers,andersongeorge@example.com,336,187,2,3,3,3,1,7,302,2,0.650736983901969,1.2900663845767393,4,267,175,12,3,0,4,1,14,353,9,1.2367023147173768,0.951715674060678,4,0
Robert Jones,jimenezvincent@example.net,342,221,5,4,2,7,6,20,322,4,1.1874239181274986,1.6025687311719476,3,244,209,14,1,3,8,3,24,273,8,1.8406215425670713,1.583236997269802,2,1
Sarah Blackburn,bmercer@example.net,281,204,11,4,2,6,4,9,232,2,1.1234783944397009,1.5359731014166083,2,348,233,10,3,0,4,6,7,318,1,1.0795355226437435,0.5686220919399623,1,0
Randall Bowen,bradley00@example.org,280,211,4,1,3,7,3,23,319,6,1.7323304072518457,1.9078692253086398,2,312,203,10,1,1,2,3,10,332,6,0.6811481166353958,0.9656532153514528,0,1
Christopher Perez,grahamemma@example.net,240,243,8,0,4,6,3,16,275,0,1.7179627641342972,0.626491269568163,0,197,191,1,1,4,7,5,10,246,0,1.9616810494562196,0.7349081645010433,0,1
Stacey Ray,larsonfrances@example.com,270,256,6,2,2,6,2,17,322,8,0.5566257323663338,1.1929848465151798,3,287,168,9,1,4,0,6,27,287,1,1.3443463656513437,0.71641914223108,2,0
Rebecca Page,michelle96@example.org,257,131,13,2,3,1,4,13,261,1,1.9718753517096352,1.7230606115115084,4,255,197,4,2,4,3,3,28,302,8,1.6235194590807254,0.5931359783732959,4,1
Sarah Schmidt,sarah47@example.net,283,136,12,2,4,4,1,25,276,5,1.7733602927315328,0.6040972143363911,1,319,219,4,2,2,2,6,29,191,1,1.4030785216261008,1.8758432354780457,0,0
Kelly Butler,bwilliams@example.net,393,187,13,1,1,2,4,3,339,5,1.201220168392938,1.215473338896886,0,306,198,14,2,4,2,2,21,294,1,1.2331792848268002,1.0735272254671417,1,0
Lisa Galvan,christinasalinas@example.com,298,211,3,4,4,5,3,3,264,8,1.9576245076417904,1.3296665744081473,4,268,205,8,3,4,7,1,5,230,8,0.6832246591524465,0.5871141164109912,2,1
Michael Torres,roachlarry@example.com,309,168,8,4,1,3,6,20,249,1,1.9642570811939346,1.0875163519792963,1,290,204,11,4,4,7,1,16,276,1,1.4094636525736792,0.6269552820025313,3,0
William Henry,brandon99@example.com,316,232,7,4,4,2,5,6,170,9,1.4315690002519377,1.340894186958828,4,427,173,12,1,0,0,2,29,281,7,1.4111771319636126,1.2680236251899581,1,0
Yvonne Vaughn,lisa84@example.net,310,229,11,1,4,4,5,4,335,4,1.7017887263999967,1.5587321849193168,4,261,198,5,3,2,3,2,11,342,3,1.9632865556608718,0.840274483047089,2,1
Charles Sullivan,smithaaron@example.org,316,262,10,3,4,8,3,21,319,8,0.731152958038406,1.5660369528064326,4,312,247,3,3,4,3,4,5,342,9,1.6501084396495616,1.8590623090427072,2,1
Tina Sullivan,aaronrichmond@example.com,322,212,3,4,2,8,6,15,352,2,1.5470182310657585,1.8567533735920945,2,279,163,11,0,4,4,6,5,322,8,1.2040577176695677,1.9074379646333048,3,1
Adam Lawrence,villanuevacharles@example.org,280,166,9,1,2,8,4,27,261,9,1.0492122649347388,0.9921630088304653,4,333,210,2,3,2,2,5,16,357,8,1.9519541358025903,1.2840126236445546,3,1
Michael Combs,petersenlori@example.com,415,227,8,3,0,7,6,1,315,4,1.9040554880273906,1.3489039930521969,2,265,184,2,3,0,7,1,28,310,3,1.349668927334472,1.3962054200189387,3,0
Katherine Barnett,adamsdaniel@example.org,306,198,1,2,0,1,4,2,384,6,1.913379459576692,0.9499839580021541,3,209,200,3,1,4,7,2,9,332,2,1.1336299538968964,1.7927965172470888,4,1
Holly Flores,robertgamble@example.com,235,178,11,0,4,8,4,8,300,3,0.7492133676278339,1.7547938491406276,0,306,164,8,0,1,0,4,5,343,3,1.5950322949327478,0.6512677615135225,4,0
Rodney Garcia,thomas63@example.com,263,172,13,3,2,8,3,17,311,8,1.8186318509802217,0.8784322453801054,3,411,208,14,0,2,9,1,6,369,0,0.8156691525390393,1.5284117891477176,4,1
Ann Vargas,gonzalesgeorge@example.com,321,173,5,0,3,9,2,0,311,9,0.5583316644551448,1.1698490658018448,1,210,219,7,0,2,1,4,13,410,1,1.4434912751879214,1.203628648238135,4,0
David Hicks,gordontaylor@example.com,271,227,12,0,2,7,1,0,354,2,1.6174597271337467,1.6960168622595502,0,319,216,14,4,2,4,1,13,234,5,0.9583670477443134,1.548197731183201,1,1
Brian Brown,youngaaron@example.com,242,212,11,1,3,4,1,20,412,4,0.8569741913359468,1.5920498721228915,3,334,189,6,1,1,8,1,23,342,8,1.4090953855892652,1.0731881045954892,2,1
Brittany Alvarado,todd42@example.net,350,215,8,1,4,3,4,12,279,3,1.4316689218666137,1.5114273303572905,4,353,222,2,1,4,7,1,25,284,2,1.3757162316673635,0.788361611367481,3,1
Christian Brooks,carlaharper@example.net,274,199,13,2,4,8,1,17,362,7,0.78752279930286,1.334614216614311,4,362,187,10,2,2,1,6,9,389,0,0.8461501238744971,0.890017310260055,4,1
Judith Nguyen,jessemorales@example.com,326,160,11,4,1,5,6,14,239,6,1.049218559204094,1.118984584984319,4,316,159,12,1,3,6,3,6,273,6,0.5442216041613803,0.8082790248228378,0,1
Greg Lopez,ljames@example.org,270,176,14,4,4,8,4,28,367,0,1.8323817841427654,1.0253679660717478,0,245,188,6,0,4,1,3,9,386,6,1.6055963638253612,1.0680347842729723,0,0
Shari Knapp,uhernandez@example.net,333,214,11,0,4,1,5,25,294,6,1.6208170971704643,0.5120029723676895,2,253,201,4,1,1,0,3,27,304,3,1.721828689352716,1.9826196615553249,0,1
Adam Powell,dawnreynolds@example.com,285,178,6,1,2,7,2,10,358,3,0.8854429460811704,0.9442122703707627,1,289,230,4,2,0,0,4,19,288,3,1.339064114559586,1.3867379000426359,4,1
Anthony Wilson,jonathan89@example.net,368,201,5,0,0,2,2,18,217,8,1.6352524501793753,1.7382715452712827,1,251,203,9,1,2,5,6,8,180,0,1.1383887892327094,1.732256958345959,4,0
David Reynolds,donna74@example.com,330,225,12,1,4,1,3,11,315,8,0.6286807234981155,1.7562186644323727,2,327,159,14,3,4,9,1,10,349,8,1.118598111630385,1.8367138147114117,0,0
Rhonda Dominguez,yatesedward@example.org,226,198,11,2,4,6,5,15,247,7,1.6379986613677244,1.0416547380605414,3,233,218,14,2,0,5,4,12,342,4,1.600314963534478,1.922158408320172,0,1
Michael Jones,donnawhite@example.net,291,213,4,2,1,2,3,11,270,6,1.7962924434715917,0.8452207146806818,2,291,181,8,0,4,6,4,10,227,8,1.1316574233861147,1.8053351960556223,4,0
Jennifer Brown,vdavis@example.org,331,181,5,2,0,5,4,14,291,1,1.8999428558504878,1.069604195434025,1,320,168,5,4,4,0,3,8,356,4,1.1077988244162498,1.49552326981423,4,1
Lisa Huynh,alexander34@example.org,275,190,3,3,2,8,5,26,265,6,0.7590210056511095,0.6366760265532998,4,349,116,1,1,4,6,4,22,293,9,1.0758534438238556,1.67106993342225,2,1
Carmen Tate,owright@example.net,285,196,1,4,4,0,2,14,252,2,1.0496187280333111,0.7091559437727997,0,352,123,3,4,4,1,6,13,260,9,0.51082332590405,1.2956900999705192,4,1
Ryan Sloan,ubates@example.net,239,159,7,3,2,2,3,17,313,6,1.8688415084282781,0.6736303373078041,2,370,190,10,2,1,9,2,26,375,7,0.5400663354402454,1.3992243034455143,1,0
Jenny Green,katherine57@example.net,443,233,6,2,1,5,2,13,236,9,0.7467387237315377,0.5473201633017368,2,331,241,1,1,3,4,6,26,330,1,0.7909477308088415,1.4139119878403532,1,0
Scott Duncan,robincarroll@example.com,309,250,4,1,2,5,1,14,286,9,1.6776601719317923,1.4245723930704346,2,244,178,5,1,3,1,2,16,289,2,1.334420590460881,0.8286696791236497,3,1
Michael Sharp,bowmanthomas@example.org,252,240,10,3,3,4,5,19,325,6,1.0233118811393935,1.0321337132265536,1,315,191,14,3,1,8,6,12,314,2,1.9215497365406828,1.0005835150191347,2,1
Karen Peck,charles84@example.org,327,163,1,2,0,6,6,1,197,7,0.5845999984121886,1.6417854657475348,1,208,233,1,3,1,0,4,19,316,6,1.3655416480638864,0.9270392143307119,1,1
Heather Hutchinson,psloan@example.net,293,213,6,0,2,7,3,29,305,7,1.205935210776231,1.0152418819538775,2,251,179,8,4,3,5,1,2,352,3,1.2947317677166186,0.5845585120906309,1,0
Mrs. Jennifer Herrera,patriciahernandez@example.com,296,200,11,0,1,4,6,3,343,5,1.78361918194473,1.339712769139075,4,219,181,2,2,3,0,3,0,243,6,0.9429838523071434,1.1844812879934357,1,0
Jasmine Zimmerman,kathleencaldwell@example.org,339,185,10,2,3,3,6,16,267,4,1.0951140334939498,1.5085570064792175,3,231,218,6,1,2,3,6,28,356,9,1.3993259381374723,0.7085243967676111,3,1
Barbara Gonzalez,kimberly25@example.net,280,175,11,0,3,4,1,15,356,8,0.917723983385577,1.6017780246156437,0,224,140,1,2,2,6,4,29,299,6,0.5413002886026188,1.5853386457016219,1,0
Susan Brown,kennethrobles@example.net,322,211,4,1,3,2,1,0,316,4,0.7882653784808691,1.2525793718011449,0,303,181,3,0,1,3,6,12,289,5,1.704460060614587,1.9336276603174722,2,0
Michael Fox,alvarezdebra@example.net,298,240,4,2,3,7,3,24,324,2,1.2212836177843633,0.6034409122841657,0,341,235,10,0,3,8,6,19,297,8,1.624994929377174,1.7748809624355488,0,0
Marie Wolf,nrodriguez@example.net,334,211,8,0,1,1,3,12,324,6,1.8685686438845122,0.6733611719083586,3,281,177,13,0,4,3,1,26,336,5,1.5456381069706342,1.1534664344553194,3,0
Cory Brown,erikpham@example.com,227,185,3,4,3,8,6,11,300,7,0.6304839286864486,1.3393702907258853,4,350,230,7,4,0,3,6,12,272,4,0.5003069046397336,0.89355587769338,3,1
Denise Horton,samanthataylor@example.org,229,187,5,4,0,6,1,18,219,2,1.6654361681894885,1.986369373194325,2,353,202,3,0,3,5,4,2,326,9,1.3335483883258104,0.7783990609545257,3,0
Brandon Ross,william75@example.org,295,196,6,0,3,2,4,9,226,7,1.1782897325704196,1.195540431237444,2,327,148,2,3,3,1,4,19,325,9,0.9612931111637384,0.5970511982133948,0,1
Stacey Douglas,asantiago@example.net,322,222,5,4,3,2,5,16,296,2,1.9179973520801505,0.897649848486421,0,294,126,10,4,4,1,2,12,399,4,1.2852650709471178,1.4116706034068345,2,0
Kelly Moore,moorejoanna@example.net,293,190,4,1,2,0,5,24,287,8,1.1982770008497028,1.850608579551698,3,282,215,4,0,3,7,6,26,314,8,1.6865351084162477,1.8480018338144455,4,1
Arthur Hall,josefrench@example.net,313,245,5,0,0,3,2,14,323,3,0.5063591486184135,0.8390863971620746,1,271,206,2,2,0,1,5,19,232,9,1.6089435482022922,0.8212537122560013,2,0
Elizabeth Anderson,alexlopez@example.org,288,152,11,4,0,1,4,29,434,4,1.2608283390866664,1.2745012207086843,2,306,214,12,0,0,9,4,5,351,9,1.291857741860881,1.4934280200159853,0,0
